timestamp,symbol,action,confidence,buy_prob,sell_prob,hold_prob
2025-09-01 05:16:03.338000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:16:03.750000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:16:04.133000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:16:04.506000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:17:04.885000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:17:05.272000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:17:05.663000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:17:06.040000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:18:06.419000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:18:06.791000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:18:07.182000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:18:07.575000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:19:07.946000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:19:08.337000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:19:08.744000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:19:09.120000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:20:09.492000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:20:09.885000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:20:10.260000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:20:10.647000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:21:11.025000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:21:11.400000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:21:11.791000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:21:12.181000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:22:12.538000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:22:12.934000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:22:13.322000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:22:13.724000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:23:14.088000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:23:14.477000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:23:14.854000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:23:15.245000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:24:15.617000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:24:15.995000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:24:16.386000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:24:16.777000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:25:17.136000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:25:17.524000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:25:17.918000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:25:18.308000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:26:18.701000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
